Id,Label
2849,2849
3021,3021
2694,2694
3096,3096
2818,2818
2725,2725
2951,2951
3285,3285
3082,3082
2832,2832
2960,2960
2800,2800
2929,2929
3029,3029
2909,2909
2880,2880
2754,2754
2872,2872
3232,3232
3184,3184
2948,2948
3277,3277
3297,3297
2925,2925
3397,3397
2939,2939
3185,3185
3115,3115
2927,2927
3426,3426
3333,3333
3394,3394
3087,3087
3236,3236
3327,3327
2675,2675
2863,2863
3296,3296
3293,3293
3384,3384
3005,3005
3039,3039
3428,3428
3139,3139
3198,3198
3417,3417
2944,2944
2738,2738
3399,3399
2777,2777
2894,2894
3320,3320
2793,2793
2787,2787
3377,3377
2778,2778
3101,3101
3214,3214
3090,3090
2729,2729
3085,3085
2966,2966
3033,3033
2919,2919
2893,2893
2771,2771
2749,2749
2986,2986
2829,2829
2711,2711
2755,2755
3149,3149
2887,2887
3247,3247
3347,3347
3065,3065
3286,3286
3419,3419
3319,3319
3046,3046
2773,2773
2666,2666
2706,2706
2940,2940
2852,2852
3226,3226
3316,3316
3050,3050
2667,2667
3117,3117
3173,3173
2913,2913
2676,2676
2878,2878
3249,3249
2897,2897
3119,3119
3204,3204
3351,3351
2801,2801
3256,3256
3191,3191
3203,3203
2846,2846
3321,3321
3124,3124
2803,2803
3280,3280
3132,3132
3207,3207
3042,3042
2963,2963
2987,2987
2946,2946
3335,3335
2697,2697
3292,3292
3026,3026
2786,2786
3170,3170
2875,2875
3047,3047
3108,3108
2750,2750
2908,2908
3412,3412
3056,3056
3025,3025
2679,2679
2756,2756
3098,3098
2906,2906
3120,3120
2916,2916
2680,2680
2742,2742
3350,3350
2716,2716
3051,3051
3240,3240
3331,3331
1405,1405
2905,2905
3145,3145
3045,3045
2789,2789
3182,3182
3434,3434
3420,3420
2730,2730
3106,3106
3307,3307
2847,2847
3396,3396
2936,2936
3361,3361
2764,2764
3018,3018
3248,3248
2856,2856
3156,3156
2843,2843
2945,2945
3257,3257
3263,3263
3057,3057
2888,2888
3287,3287
2840,2840
2731,2731
2821,2821
2985,2985
2698,2698
3360,3360
2989,2989
2683,2683
3301,3301
2907,2907
2928,2928
3385,3385
2795,2795
3239,3239
2661,2661
2910,2910
3233,3233
3244,3244
3391,3391
3049,3049
3392,3392
3193,3193
3054,3054
2690,2690
2844,2844
3252,3252
3355,3355
2718,2718
3136,3136
3152,3152
3366,3366
3346,3346
2904,2904
3150,3150
3102,3102
3169,3169
3178,3178
3208,3208
3267,3267
3116,3116
3386,3386
2665,2665
3332,3332
3243,3243
2886,2886
2999,2999
2708,2708
3016,3016
3342,3342
3022,3022
3306,3306
3298,3298
3411,3411
2833,2833
2994,2994
3416,3416
3064,3064
2689,2689
3104,3104
3364,3364
3302,3302
3291,3291
2783,2783
2734,2734
2828,2828
3353,3353
3035,3035
3043,3043
2871,2871
2739,2739
3324,3324
3339,3339
3345,3345
3299,3299
2757,2757
3288,3288
3234,3234
2992,2992
2854,2854
2724,2724
3425,3425
3402,3402
2920,2920
3095,3095
2877,2877
